id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
40,1702,402500,3126 W CITRUS WAY,85017,Closed,6366380,WEST PLAZA 6 LOT 614-787,1958,4,2.0,1674.0,4.1,Alhambra,100.04
41,1709,355500,4835 N 34TH DR,85017,Closed,6322770,NORTHWEST VILLAGE 6,1955,3,2.0,1713.0,4.1,Alhambra,100.04
42,1727,385706,3324 W Citrus WAY,85017,Closed,6362911,CONTINENTAL MEADOWS MARK 1,1961,4,2.0,1814.0,4.1,Alhambra,100.04
43,1731,360000,6739 N 32ND AVE,85017,Closed,6364367,CAVALIER GLEN,1954,3,2.0,1476.0,4.1,Alhambra,100.04
44,1765,385000,3107 W SAN MIGUEL AVE,85017,Closed,6347425,MARYVALE PARK 4 LOTS 1004-1106 TRS A & B,1954,4,2.0,1414.0,4.1,Alhambra,100.04
45,1837,275000,4246 N 30TH DR,85017,Closed,6380802,MISSION MANOR RESUB 35-58,1951,3,1.5,1327.0,4.1,Alhambra,100.04
46,1849,340000,6628 N 28TH DR,85017,Closed,6370471,"OCOTILLO PARK LOTS 1-4, 48-74",1961,3,1.75,1261.0,4.1,Alhambra,100.04
47,1895,400000,3118 W MISSOURI AVE,85017,Closed,6369848,MARYVALE PARK 4 LOTS 1004-1106 TRS A & B,1954,4,2.5,1414.0,4.1,Alhambra,100.04
48,1903,315000,2943 W HIGHLAND AVE,85017,Closed,6358427,NORTHWEST VILLAGE 2,1953,3,2.0,1424.0,4.1,Alhambra,100.04
49,1904,320000,2942 W MISSOURI AVE,85017,Closed,6361638,"MARYVALE PARK 2 AMD LOTS 243-415, & TR C",1952,3,1.75,1257.0,4.1,Alhambra,100.04
50,1910,350000,2818 W MINNEZONA AVE,85017,Closed,6371077,NORTHWEST VILLAGE 1,1954,4,2.0,1491.0,4.1,Alhambra,100.04
51,2006,488000,2544 W COOLIDGE ST,85017,Closed,6348400,MEETS & BOUNDS,1954,6,4.0,2115.0,4.1,Alhambra,100.04
52,2023,360000,3029 W MONTEBELLO AVE,85017,Closed,6377279,"MARYVALE PARK 2 AMD LOTS 243-415, & TR C",1952,3,1.0,1092.0,4.1,Alhambra,100.04
53,2052,320000,2618 W SAN MIGUEL AVE,85017,Closed,6370929,BERKLEY SQUARE,1949,2,1.0,1020.0,4.1,Alhambra,100.04
